organism	target_version	target_name	scaffold	extract_start	extract_end	sequence_length	virus_genus	assigned_name	orientation	locus_structure
Mus_castaneus	REL-1509-EiJ	CAST_EiJ.chromosomes.unplaced.gt2k.fa	chr4	19052705	19053115	411	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Myotis_brandtii	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	gi|549512482|ref|NW_005353770.1|	1569601	1570413	813	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Peromyscus_maniculatus_bairdii	1	230844_ref_Pman_1.0_chrUn.fa	gi|586828128|ref|NW_006502308.1|	313542	313781	240	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Chinchilla_lanigera	broad_v0_2012	C_lanigera_v0.assembly.fasta_10.fa	scaffold00028	23779547	23779822	276	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01003066.1	329427	330008	582	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Myotis_lucifugus	goldenpath_myoLuc2	myoLuc2.fa	GL429767	12238305	12239117	813	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE379618	122271	122582	312	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Rattus_norvegicus	goldenpath_rn6	rn6.fa_4.fa	chr5	36369303	36369443	141	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Mus_spretus	SPRET_EiJ_v1	GCA_001624865.1_SPRET_EiJ_v1_genomic.fa	CM004097.1	18883651	18884061	411	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Myotis_davidii	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_4.fa	gi|432114647|gb|KB101591.1|	4685275	4686057	783	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Rattus_norvegicus	goldenpath_rn6	rn6.fa_5.fa	chr9	89434652	89435143	492	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Mus_musculus	goldenpath_mm9	chr4.fa	chr4	22129194	22129415	222	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE383101	420063	420431	369	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01001281.1	1681851	1682063	213	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE378894	139370	139894	525	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Microtus_ochrogaster	broad_1.0_april_2013	chr19.fa	gi|428755171|gb|CM001684.1|	37672558	37673241	684	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Mesocricetus_auratus	broad_1.1_april_2013	Mesocricetus_unplaced.scaf.fa_26.fa	gi|472278324|gb|KB708269.1|	779626	780024	399	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01000303.1	1575407	1576021	615	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Mesocricetus_auratus	broad_1.1_april_2013	Mesocricetus_unplaced.scaf.fa_14.fa	gi|472278418|gb|KB708175.1|	260388	261065	678	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Apodemus_sylvaticus	GCA_001305905.1	GCA_001305905.1_ASM130590v1_genomic.fa	LIPJ01010341.1	244950	245162	213	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01002118.1	223190	223534	345	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351517557|ref|NW_003613992.1|	207661	208185	525	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01065323.1	5792	6373	582	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Microtus_ochrogaster	broad_1.0_april_2013	chrLG4.fa	gi|428755089|gb|CM001693.1|	55328711	55329325	615	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01008750.1	23362	23658	297	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Mus_pahari	REL-1509-EiJ	Pahari_EiJ.chromosomes.unplaced.gt2k.fa	chr21	8225159	8225611	453	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Tarsius_syrichta	goldenpath_tarSyr1	tarSyr1.fa_1.fa	scaffold_521	86724	87294	571	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01035398.1	14065	14250	186	Unclassified	Myotis-endogenous-filo-like	-	VP35[Myotis-endogenous-filo-like(-)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351517668|ref|NW_003613881.1|	1644928	1645275	348	Ebolavirus	Sudan-ebolavirus	+	VP35[Sudan-ebolavirus(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE380660	930289	930822	534	Ebolavirus	Sudan-ebolavirus	+	VP35[Sudan-ebolavirus(+)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351517430|ref|NW_003614119.1|	1055297	1055656	360	Ebolavirus	Zaire-ebolavirus	+	VP35[Zaire-ebolavirus(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE378782	1196150	1196509	360	Ebolavirus	Zaire-ebolavirus	-	VP35[Zaire-ebolavirus(-)]
