sequenceID	assigned_gene	organism	scaffold	start	end	length	orientation	assigned_name	subject_start	subject_end	integration	duplicate
VP35_8_51_Phascolarctos_cinereus	VP35	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00056	7968384	7968968	585	positive	Marburg-marburgvirus	76	283	8	51
VP35_8_52_Phascolarctos_cinereus	VP35	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00148	1822604	1823380	777	negative	Lloviu-cuevavirus	215	320	8	52
VP35_2_53_Phodopus_sungorus	VP35	Phodopus_sungorus	MCBN011458509.1	29	711	683	negative	Sudan-ebolavirus	198	329	2	53
VP35_3_54_Psammomys_obesus	VP35	Psammomys_obesus	NESX01005124.1	31592	31912	321	positive	Myotis-endogenous-filo-like	8	113	3	54
VP35_3_55_Psammomys_obesus	VP35	Psammomys_obesus	NESX01011633.1	51723	52301	579	positive	Myotis-endogenous-filo-like	64	274	3	55
VP35_3_56_Psammomys_obesus	VP35	Psammomys_obesus	NESX01024980.1	237572	238276	705	positive	Myotis-endogenous-filo-like	28	274	3	56
VP35_3_57_Rattus_norvegicus	VP35	Rattus_norvegicus	chr5	36369303	36369443	141	positive	Myotis-endogenous-filo-like	219	265	3	57
VP35_3_58_Rattus_norvegicus	VP35	Rattus_norvegicus	chr9	89434652	89435143	492	positive	Myotis-endogenous-filo-like	96	265	3	58
VP35_5_59_Tarsius_syrichta	VP35	Tarsius_syrichta	scaffold_521	86724	87294	571	negative	Myotis-endogenous-filo-like	79	197	5	59
VP35_3_9_Neotoma_lepida	VP35	Neotoma_lepida	LZPO01076085.1	36391	37087	697	negative	Reston-ebolavirus	92	222	3	9
VP35_12_10_Phascolarctos_cinereus	VP35	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00002	31890409	31890720	312	negative	Reston-ebolavirus	192	275	12	10
VP35_12_11_Phascolarctos_cinereus	VP35	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00044	2489279	2489812	534	positive	Reston-ebolavirus	125	240	12	11
VP35_1_12_Phodopus_sungorus	VP35	Phodopus_sungorus	MCBN011428430.1	2981	3594	614	positive	Reston-ebolavirus	94	185	1	12
VP35_1_2_Cricetulus_griseus	VP35	Cricetulus_griseus	gi|351517679|ref|NW_003613870.1|	628441	628928	488	positive	Reston-ebolavirus	159	279	1	2
VP35_4_6_Microtus_agrestis	VP35	Microtus_agrestis	LIQJ01002402.1	524071	524334	264	negative	Reston-ebolavirus	226	315	4	6
VP35_1_5_Mesocricetus_auratus	VP35	Mesocricetus_auratus	gi|472278400|gb|KB708193.1|	3324650	3325141	492	negative	Reston-ebolavirus	108	289	1	5
